,Video.file,Group,Clip.duration,Trial,ID,Experienced,Start..secs.,Tot.start,End..secs.,Tot.end,Behav,Result,SawSuccess,SawInteraction,Attm,success,observe
264,HDV_1121,KI,360,3,XYG-GRO,Yes,246,3053,250,3057,BupT,1,0,0,0,1,0
272,HDV_1122,KI,513,3,XYG-GRO,Yes,288,3455,290,3457,AattemptL,0,0,0,1,0,0
276,HDV_1122,KI,513,3,XYG-GRO,Yes,288,3455,290,3457,BattemptL,0,0,0,1,0,0
269,HDV_1121,KI,360,3,XYG-GRO,Yes,308,3115,317,3124,Bscrounge,1,0,0,0,0,0
279,HDV_1123,KI,371,3,XYG-GRO,Yes,321,4001,327,4007,Ascrounge,1,0,0,0,0,0
273,HDV_1122,KI,513,3,XYG-GRO,Yes,444,3611,452,3619,B,1,0,0,0,1,0
275,HDV_1122,KI,513,3,XYG-GRO,Yes,452,3619,479,3646,Alog,1,0,0,0,1,0
268,HDV_1121,KI,360,3,PPX,Yes,246,3053,250,3057,OBupT,0,1,0,0,0,1
469,MAH00543,TK,918,1,BGX-OVP,Yes,39,1829,49,1839,Ascrounge,1,0,0,0,0,0
467,MAH00543,TK,918,1,BGX-OVP,Yes,72,1862,80,1870,ODpush,0,1,0,0,0,1
480,MAH00543,TK,918,1,BGX-OVP,Yes,83,1873,131,1921,Alog,1,0,0,0,1,0
488,MAH00543,TK,918,1,BGX-OVP,Yes,131,1921,142,1932,BattemptD,0,0,0,1,0,0
504,MAH00543,TK,918,1,BGX-OVP,Yes,241,2031,272,2062,AattemptD,0,0,1,1,0,0
495,MAH00543,TK,918,1,BGX-OVP,Yes,296,2086,304,2094,AattemptD,0,0,0,1,0,0
502,MAH00543,TK,918,1,BGX-OVP,Yes,304,2094,313,2103,BattemptD,0,0,0,1,0,0
474,MAH00543,TK,918,1,BGX-OVP,Yes,313,2103,329,2119,AattemptD,0,0,0,1,0,0
491,MAH00543,TK,918,1,BGX-OVP,Yes,374,2164,397,2187,A,1,0,0,0,1,0
442,MAH00542,TK,1790,1,BGX-OVP,Yes,389,389,399,399,ODpush,0,1,0,0,0,1
503,MAH00543,TK,918,1,BGX-OVP,Yes,473,2263,477,2267,Ascrounge,1,0,0,0,0,0
481,MAH00543,TK,918,1,BGX-OVP,Yes,493,2283,497,2287,Ascrounge,1,0,0,0,0,0
487,MAH00543,TK,918,1,BGX-OVP,Yes,552,2342,575,2365,Ascrounge,1,0,0,0,0,0
427,MAH00542,TK,1790,1,BGX-OVP,Yes,569,569,576,576,ODpush,0,1,0,0,0,1
423,MAH00542,TK,1790,1,BGX-OVP,Yes,599,599,603,603,Dpush,1,0,0,0,1,0
479,MAH00543,TK,918,1,BGX-OVP,Yes,726,2516,758,2548,Bscrounge,1,0,0,0,0,0
477,MAH00543,TK,918,1,BGX-OVP,Yes,850,2640,855,2645,ODpush,0,1,0,0,0,1
498,MAH00543,TK,918,1,BGX-OVP,Yes,862,2652,879,2669,Dattempt,0,0,0,1,0,0
419,MAH00542,TK,1790,1,BGX-OVP,Yes,1175,1175,1181,1181,Bscrounge,1,0,0,0,0,0
459,MAH00542,TK,1790,1,BGX-OVP,Yes,1360,1360,1399,1399,AattemptL,0,0,0,1,0,0
439,MAH00542,TK,1790,1,BGX-OVP,Yes,1431,1431,1454,1454,Dpush,1,0,0,0,1,0
441,MAH00542,TK,1790,1,BGX-OVP,Yes,1454,1454,1519,1519,Alog,1,0,0,0,1,0
445,MAH00542,TK,1790,1,BGX-OVP,Yes,1585,1585,1595,1595,Ascrounge,1,0,0,0,0,0
451,MAH00542,TK,1790,1,BGX-OVP,Yes,1606,1606,1610,1610,Ascrounge,1,0,0,0,0,0
452,MAH00542,TK,1790,1,BGX-OVP,Yes,1780,1780,1783,1783,Bscrounge,1,0,0,0,0,0
486,MAH00543,TK,918,1,BXB-BSB,Yes,186,1976,233,2023,BattemptL,0,0,0,1,0,0
499,MAH00543,TK,918,1,BXB-BSB,Yes,351,2141,363,2153,BattemptL,0,0,0,1,0,0
505,MAH00543,TK,918,1,BXB-BSB,Yes,420,2210,428,2218,ODpush,0,1,0,0,0,1
490,MAH00543,TK,918,1,BXB-BSB,Yes,433,2223,434,2224,Ascrounge,1,0,0,0,0,0
492,MAH00543,TK,918,1,BXB-BSB,Yes,483,2273,484,2274,Ascrounge,1,0,0,0,0,0
482,MAH00543,TK,918,1,BXB-BSB,Yes,527,2317,528,2318,Ascrounge,1,0,0,0,0,0
501,MAH00543,TK,918,1,BXB-BSB,Yes,577,2367,580,2370,Ascrounge,1,0,0,0,0,0
464,MAH00543,TK,918,1,BXB-BSB,Yes,642,2432,672,2462,BdownT,1,0,0,0,1,0
471,MAH00543,TK,918,1,BXB-BSB,Yes,754,2544,754,2544,Bscrounge,1,0,0,0,0,0
494,MAH00543,TK,918,1,BXB-BSB,Yes,802,2592,808,2598,Bscrounge,1,0,0,0,0,0
456,MAH00542,TK,1790,1,BXB-BSB,Yes,970,970,971,971,OBattemptD,0,0,1,1,0,1
436,MAH00542,TK,1790,1,BXB-BSB,Yes,1141,1141,1148,1148,AattemptD,0,0,0,1,0,0
438,MAH00542,TK,1790,1,BXB-BSB,Yes,1148,1148,1154,1154,BattemptD,0,0,0,1,0,0
460,MAH00542,TK,1790,1,BXB-BSB,Yes,1154,1154,1161,1161,AattemptD,0,0,0,1,0,0
420,MAH00542,TK,1790,1,BXB-BSB,Yes,1161,1161,1170,1170,BupT,1,0,0,0,1,0
458,MAH00542,TK,1790,1,BXB-BSB,Yes,1235,1235,1235,1235,Bscrounge,1,0,0,0,0,0
421,MAH00542,TK,1790,1,BXB-BSB,Yes,1326,1326,1335,1335,AattemptD,0,0,0,1,0,0
446,MAH00542,TK,1790,1,BXB-BSB,Yes,1431,1431,1454,1454,ODpush,0,1,0,0,0,1
470,MAH00543,TK,918,1,OOM-XRR,Yes,72,1862,80,1870,Dpush,1,0,0,0,1,0
475,MAH00543,TK,918,1,OOM-XRR,Yes,186,1976,233,2023,OBattemptD,0,0,1,1,0,1
